brand,url,total_items,total_pages
Louis XVI,https://www.chrono24.com/louisxvi/index.htm,81,2
Lucien Rochat,https://www.chrono24.com/lucienrochat/index.htm,99,2
Ludovic Ballouard,https://www.chrono24.com/ludovicballouard/index.htm,2,1
Luminox,https://www.chrono24.com/luminox/index.htm,"1,105",19
Lüm-Tec,https://www.chrono24.com/luemtec/index.htm,21,1
M.A.D. Editions,https://www.chrono24.com/madeditions/index.htm,13,1
M&M Swiss Watch,https://www.chrono24.com/mmswisswatch/index.htm,3,1
Marburger,https://www.chrono24.com/marburger/index.htm,0,0
Marcello C.,https://www.chrono24.com/marcelloc/index.htm,42,1
Margi,https://www.chrono24.com/margi/index.htm,12,1
Marlboro,https://www.chrono24.com/marlboro/index.htm,1,1
Martin Braun,https://www.chrono24.com/martinbraun/index.htm,22,1
Marvin,https://www.chrono24.com/marvin/index.htm,88,2
Maserati,https://www.chrono24.com/maserati/index.htm,"1,281",22
Mathey-Tissot,https://www.chrono24.com/matheytissot/index.htm,103,2
Mauboussin,https://www.chrono24.com/mauboussin/index.htm,48,1
Maurice Blum,https://www.chrono24.com/mauriceblum/index.htm,0,0
Maurice de Mauriac,https://www.chrono24.com/mauricedemauriac/index.htm,111,2
Maurice Lacroix,https://www.chrono24.com/mauricelacroix/index.htm,"4,091",69
Mb&f,https://www.chrono24.com/mbf/index.htm,83,2
Meccaniche Veloci,https://www.chrono24.com/meccanicheveloci/index.htm,44,1
Meistersinger,https://www.chrono24.com/meistersinger/index.htm,807,14
Mercure,https://www.chrono24.com/mercure/index.htm,0,0
Mercury,https://www.chrono24.com/mercury/index.htm,69,2
Meva,https://www.chrono24.com/meva/index.htm,1,1
MEXX Time,https://www.chrono24.com/mexxtime/index.htm,0,0
Meyers,https://www.chrono24.com/meyers/index.htm,7,1
Michael Bittel,https://www.chrono24.com/michaelbittel/index.htm,0,0
Michael Kors,https://www.chrono24.com/michaelkors/index.htm,683,12
Michele,https://www.chrono24.com/michele/index.htm,187,4
Michel Herbelin,https://www.chrono24.com/michelherbelin/index.htm,537,9
Michel Jordi,https://www.chrono24.com/micheljordi/index.htm,28,1
Mido,https://www.chrono24.com/mido/index.htm,"3,392",57
Milleret,https://www.chrono24.com/milleret/index.htm,2,1
Milus,https://www.chrono24.com/milus/index.htm,78,2
Minerva,https://www.chrono24.com/minerva/index.htm,93,2
Ming,https://www.chrono24.com/ming/index.htm,118,2
Momentum,https://www.chrono24.com/momentum/index.htm,3,1
Momo Design,https://www.chrono24.com/momodesign/index.htm,51,1
Mondaine,https://www.chrono24.com/mondaine/index.htm,446,8
Mondia,https://www.chrono24.com/mondia/index.htm,164,3
Montano,https://www.chrono24.com/montano/index.htm,0,0
Montblanc,https://www.chrono24.com/montblanc/index.htm,"3,292",55
Montega,https://www.chrono24.com/montega/index.htm,24,1
Morellato,https://www.chrono24.com/morellato/index.htm,35,1
Moritz Grossmann,https://www.chrono24.com/moritzgrossmann/index.htm,30,1
Movado,https://www.chrono24.com/movado/index.htm,"1,406",24
Mühle Glashütte,https://www.chrono24.com/muehleglashuette/index.htm,"1,010",17
N.B. Yäeger,https://www.chrono24.com/nbyaeeger/index.htm,8,1
N.O.A,https://www.chrono24.com/noa/index.htm,9,1
Naj-Oleari,https://www.chrono24.com/najoleari/index.htm,0,0
Nautica,https://www.chrono24.com/nautica/index.htm,12,1
Nauticfish,https://www.chrono24.com/nauticfish/index.htm,18,1
Nethuns,https://www.chrono24.com/nethuns/index.htm,45,1
Nike,https://www.chrono24.com/nike/index.htm,3,1
Nina Ricci,https://www.chrono24.com/ninaricci/index.htm,18,1
Nivada,https://www.chrono24.com/nivada/index.htm,149,3
Nivrel,https://www.chrono24.com/nivrel/index.htm,60,1
Nixon,https://www.chrono24.com/nixon/index.htm,187,4
NOMOS,https://www.chrono24.com/nomos/index.htm,"2,609",44
Nouvelle Horlogerie Calabrese (NHC),https://www.chrono24.com/nouvellehorlogeriecalabresenhc/index.htm,3,1
ODM,https://www.chrono24.com/odm/index.htm,0,0
Officina del Tempo,https://www.chrono24.com/officinadeltempo/index.htm,25,1
Offshore Limited,https://www.chrono24.com/offshorelimited/index.htm,0,0
Ollech & Wajs,https://www.chrono24.com/ollechwajs/index.htm,32,1
Omega,https://www.chrono24.com/omega/index.htm,"41,551",693
Orator,https://www.chrono24.com/orator/index.htm,18,1
Orbita,https://www.chrono24.com/orbita/index.htm,0,0
Orfina,https://www.chrono24.com/orfina/index.htm,32,1
Orient,https://www.chrono24.com/orient/index.htm,"2,613",44
Oris,https://www.chrono24.com/oris/index.htm,"5,160",86
Otumm,https://www.chrono24.com/otumm/index.htm,0,0
Out of Order,https://www.chrono24.com/outoforder/index.htm,69,2
Pacardt,https://www.chrono24.com/pacardt/index.htm,3,1
Panerai,https://www.chrono24.com/panerai/index.htm,"6,888",115
Parmigiani Fleurier,https://www.chrono24.com/parmigianifleurier/index.htm,521,9
Patek Philippe,https://www.chrono24.com/patekphilippe/index.htm,"12,401",207
Paul Picot,https://www.chrono24.com/paulpicot/index.htm,648,11
Pequignet,https://www.chrono24.com/pequignet/index.htm,251,5
Perigáum,https://www.chrono24.com/perigaum/index.htm,3,1
Perrelet,https://www.chrono24.com/perrelet/index.htm,298,5
Perseo,https://www.chrono24.com/perseo/index.htm,62,2
Phantoms,https://www.chrono24.com/phantoms/index.htm,1,1
Philip Stein,https://www.chrono24.com/philipstein/index.htm,17,1
Philip Watch,https://www.chrono24.com/philipwatch/index.htm,170,3
Piaget,https://www.chrono24.com/piaget/index.htm,"2,083",35
Pierre Balmain,https://www.chrono24.com/pierrebalmain/index.htm,33,1
Pierre Cardin,https://www.chrono24.com/pierrecardin/index.htm,19,1
Pierre DeRoche,https://www.chrono24.com/pierrederoche/index.htm,40,1
Pierre Kunz,https://www.chrono24.com/pierrekunz/index.htm,92,2
Police,https://www.chrono24.com/police/index.htm,277,5
Poljot,https://www.chrono24.com/poljot/index.htm,615,11
Porsche Design,https://www.chrono24.com/porschedesign/index.htm,593,10
Preisig Schaffhausen,https://www.chrono24.com/preisigschaffhausen/index.htm,0,0
Prim,https://www.chrono24.com/prim/index.htm,21,1
Pro-Hunter,https://www.chrono24.com/prohunter/index.htm,5,1
Pryngeps,https://www.chrono24.com/pryngeps/index.htm,59,1
Pulsar,https://www.chrono24.com/pulsar/index.htm,137,3
Puma,https://www.chrono24.com/puma/index.htm,1,1
Quinting,https://www.chrono24.com/quinting/index.htm,15,1
Rado,https://www.chrono24.com/rado/index.htm,"4,350",73
Raidillon,https://www.chrono24.com/raidillon/index.htm,4,1
Rainer Brand,https://www.chrono24.com/rainerbrand/index.htm,11,1
Rainer Nienaber,https://www.chrono24.com/rainernienaber/index.htm,0,0
Raketa,https://www.chrono24.com/raketa/index.htm,283,5
Ralf Tech,https://www.chrono24.com/ralftech/index.htm,104,2
Ralph Lauren,https://www.chrono24.com/ralphlauren/index.htm,23,1
Raymond Weil,https://www.chrono24.com/raymondweil/index.htm,"1,859",31
